pH,salt,oc,N,P,k,s,zn,b,Fe,Mn,cu,output
alkaline,medium,very_low,medium,high,very_low,high,very_low,high,very_low,medium,very_low,yes
acidic,medium,very_high,medium,very_high,very_low,very_high,high,very_high,very_high,medium,high,yes
alkaline,very_low,very_low,very_low,very_low,low,very_low,low,very_low,very_low,very_low,low,yes
alkaline,very_low,very_low,very_low,very_low,very_low,very_low,high,very_low,very_low,very_low,high,yes
neutral,very_high,very_high,very_high,very_high,high,high,medium,high,very_high,very_high,medium,yes
alkaline,low,very_high,low,low,very_low,high,very_low,high,very_high,low,very_low,yes
alkaline,very_high,low,very_high,low,high,medium,high,medium,low,very_high,high,yes
neutral,high,very_high,high,very_high,very_low,high,high,high,very_high,high,high,yes
alkaline,very_low,low,very_low,low,medium,very_high,low,very_high,low,very_low,low,yes
neutral,very_low,low,very_low,low,low,low,medium,low,low,very_low,medium,yes
neutral,very_low,very_high,very_low,very_high,medium,medium,medium,medium,very_high,very_low,medium,yes
acidic,very_high,very_low,very_high,very_low,medium,very_low,medium,very_low,very_low,very_high,medium,yes
acidic,low,high,low,high,medium,very_low,medium,very_low,high,low,medium,no
acidic,low,medium,low,medium,high,low,low,low,medium,low,low,no
acidic,very_low,high,very_low,medium,very_low,low,very_low,low,high,very_low,very_low,yes
acidic,very_low,low,very_low,low,high,low,low,low,low,very_low,low,yes
alkaline,very_low,high,very_low,medium,medium,low,very_high,low,high,very_low,very_high,yes
alkaline,low,medium,low,very_high,very_high,medium,very_low,medium,medium,low,very_low,yes
alkaline,very_low,high,very_low,high,very_low,very_low,high,very_low,high,very_low,high,yes
acidic,medium,medium,medium,medium,very_low,very_high,high,very_high,medium,medium,high,no
alkaline,very_high,medium,very_high,very_high,very_high,medium,very_low,medium,medium,very_high,very_low,yes
acidic,very_high,high,very_high,high,medium,very_low,medium,very_low,high,very_high,medium,yes
alkaline,medium,medium,medium,very_high,very_low,very_high,very_low,very_high,medium,medium,very_low,yes
alkaline,low,very_low,low,very_low,very_high,low,high,low,very_low,low,high,yes
neutral,very_high,very_high,very_high,very_high,very_low,high,high,high,very_high,very_high,high,yes
neutral,very_high,high,very_high,high,low,low,medium,low,high,very_high,medium,yes
acidic,high,very_low,high,very_low,low,medium,low,medium,very_low,high,low,yes
acidic,very_high,very_low,very_high,high,very_low,low,very_low,low,very_low,very_high,very_low,yes
alkaline,high,high,high,medium,low,high,very_high,high,high,high,very_high,no
alkaline,high,very_high,high,very_high,medium,very_high,low,very_high,very_high,high,low,yes
neutral,very_high,low,very_high,low,medium,medium,medium,medium,low,very_high,medium,yes
alkaline,very_high,high,very_high,high,low,very_low,low,very_low,high,very_high,low,yes
alkaline,medium,very_low,medium,very_low,very_low,very_low,high,very_low,very_low,medium,high,yes
neutral,high,very_low,high,very_low,high,high,medium,high,very_low,high,medium,yes
alkaline,high,very_low,high,very_low,medium,very_high,low,very_high,very_low,high,low,yes
acidic,low,very_low,low,very_low,very_low,very_high,high,very_high,very_low,low,high,yes
alkaline,very_high,very_low,very_high,very_low,low,very_low,low,very_low,very_low,very_high,low,yes
alkaline,high,very_low,high,very_low,high,medium,high,medium,very_low,high,high,yes
alkaline,low,low,low,low,high,medium,high,medium,low,low,high,no
alkaline,very_high,medium,very_high,medium,high,medium,high,medium,medium,very_high,high,yes
neutral,very_high,low,very_high,low,very_low,high,high,high,low,very_high,high,yes
acidic,low,low,low,low,very_low,very_high,high,very_high,low,low,high,no
acidic,low,very_high,low,very_high,medium,very_low,medium,very_low,very_high,low,medium,yes
neutral,very_low,medium,very_low,very_high,very_low,low,very_low,low,medium,very_low,very_low,yes
acidic,high,high,high,high,medium,very_low,medium,very_low,high,high,medium,no
neutral,high,very_low,high,very_low,medium,medium,medium,medium,very_low,high,medium,yes
neutral,medium,very_low,medium,very_low,very_low,high,high,high,very_low,medium,high,yes
alkaline,medium,high,medium,medium,high,very_high,very_high,very_high,high,medium,very_high,yes
alkaline,very_low,very_high,very_low,very_high,high,medium,high,medium,very_high,very_low,high,yes
alkaline,very_low,very_low,very_low,high,high,very_high,very_high,very_high,very_low,very_low,very_high,yes
acidic,low,low,low,very_low,very_low,high,very_low,high,low,low,very_low,yes
neutral,medium,very_low,medium,very_low,medium,medium,medium,medium,very_low,medium,medium,yes
neutral,very_high,medium,very_high,very_high,very_low,low,very_low,low,medium,very_high,very_low,yes
alkaline,very_high,high,very_high,medium,low,high,very_high,high,high,very_high,very_high,yes
acidic,high,medium,high,very_high,very_high,low,very_high,low,medium,high,very_high,yes
neutral,medium,low,medium,low,very_low,high,high,high,low,medium,high,no
neutral,low,high,low,high,very_high,very_high,medium,very_high,high,low,medium,no
neutral,high,high,high,high,medium,medium,medium,medium,high,high,medium,no
alkaline,very_high,very_low,very_high,very_low,high,medium,high,medium,very_low,very_high,high,yes
alkaline,high,medium,high,very_high,very_low,very_high,very_low,very_high,medium,high,very_low,yes
neutral,high,very_low,high,very_low,very_high,very_high,medium,very_high,very_low,high,medium,yes
alkaline,low,medium,low,very_high,medium,high,very_high,high,medium,low,very_high,no
neutral,very_high,very_high,very_high,very_high,low,low,medium,low,very_high,very_high,medium,yes
acidic,low,very_low,low,very_low,low,medium,low,medium,very_low,low,low,yes
acidic,very_low,medium,very_low,medium,medium,very_low,medium,very_low,medium,very_low,medium,yes
neutral,low,very_low,low,high,very_low,medium,very_low,medium,very_low,low,very_low,yes
acidic,very_low,low,very_low,low,very_low,very_high,high,very_high,low,very_low,high,yes
alkaline,medium,very_low,medium,high,medium,low,very_high,low,very_low,medium,very_high,yes
alkaline,low,very_high,low,very_high,high,medium,high,medium,very_high,low,high,yes
neutral,medium,high,medium,high,very_low,high,high,high,high,medium,high,no
neutral,low,very_high,low,very_high,high,high,medium,high,very_high,low,medium,yes
alkaline,high,very_low,high,high,high,very_high,very_high,very_high,very_low,high,very_high,yes
alkaline,low,high,low,medium,very_low,high,very_low,high,high,low,very_low,no
alkaline,low,low,low,very_low,low,very_high,very_high,very_high,low,low,very_high,yes
neutral,very_high,low,very_high,low,high,high,medium,high,low,very_high,medium,yes
neutral,medium,medium,medium,medium,very_high,very_high,medium,very_high,medium,medium,medium,no
alkaline,very_low,very_high,very_low,low,high,very_high,very_high,very_high,very_high,very_low,very_high,yes
neutral,medium,medium,medium,medium,low,low,medium,low,medium,medium,medium,no
neutral,very_high,medium,very_high,medium,very_low,high,high,high,medium,very_high,high,yes
alkaline,high,very_high,high,very_high,very_low,very_low,high,very_low,very_high,high,high,yes
acidic,high,very_low,high,very_low,high,low,low,low,very_low,high,low,yes
alkaline,high,medium,high,very_high,medium,high,very_high,high,medium,high,very_high,no
acidic,high,very_low,high,high,very_low,low,very_low,low,very_low,high,very_low,yes
acidic,medium,low,medium,low,high,low,low,low,low,medium,low,no
alkaline,low,low,low,low,very_low,very_low,high,very_low,low,low,high,no
neutral,very_high,very_high,very_high,very_high,medium,medium,medium,medium,very_high,very_high,medium,yes
alkaline,low,very_low,low,very_low,very_low,very_low,high,very_low,very_low,low,high,yes
acidic,very_high,medium,very_high,medium,very_high,high,low,high,medium,very_high,low,yes
alkaline,very_high,low,very_high,very_low,low,very_high,very_high,very_high,low,very_high,very_high,yes
alkaline,low,low,low,very_low,medium,high,very_high,high,low,low,very_high,no
acidic,very_low,very_high,very_low,very_high,high,low,low,low,very_high,very_low,low,yes
alkaline,medium,medium,medium,very_high,high,very_low,very_high,very_low,medium,medium,very_high,yes
alkaline,high,high,high,high,very_low,very_low,high,very_low,high,high,high,no
neutral,low,very_low,low,very_low,very_high,very_high,medium,very_high,very_low,low,medium,yes
neutral,high,very_high,high,very_high,low,low,medium,low,very_high,high,medium,yes
alkaline,very_high,medium,very_high,very_high,high,very_low,very_high,very_low,medium,very_high,very_high,yes
alkaline,medium,low,medium,low,very_high,low,high,low,low,medium,high,no
acidic,high,medium,high,very_high,high,medium,very_high,medium,medium,high,very_high,no
acidic,high,medium,high,medium,medium,very_low,medium,very_low,medium,high,medium,no
alkaline,very_high,very_low,very_high,high,very_low,high,very_low,high,very_low,very_high,very_low,yes
acidic,medium,medium,medium,medium,very_high,high,low,high,medium,medium,low,no
acidic,very_high,medium,very_high,medium,very_low,very_high,high,very_high,medium,very_high,high,yes
neutral,low,low,low,low,very_low,high,high,high,low,low,high,no
acidic,very_high,medium,very_high,very_high,very_low,high,very_low,high,medium,very_high,very_low,yes
alkaline,high,very_high,high,low,very_low,high,very_low,high,very_high,high,very_low,yes
alkaline,low,medium,low,medium,medium,very_high,low,very_high,medium,low,low,no
neutral,very_high,very_low,very_high,very_low,low,low,medium,low,very_low,very_high,medium,yes
acidic,very_low,high,very_low,high,very_low,very_high,high,very_high,high,very_low,high,yes
acidic,high,very_high,high,very_high,very_high,high,low,high,very_high,high,low,yes
acidic,very_low,low,very_low,very_low,high,medium,very_high,medium,low,very_low,very_high,yes
alkaline,medium,medium,medium,medium,medium,very_high,low,very_high,medium,medium,low,no
alkaline,very_high,very_high,very_high,very_high,very_high,low,high,low,very_high,very_high,high,yes
acidic,very_high,medium,very_high,medium,high,low,low,low,medium,very_high,low,yes
alkaline,very_high,very_low,very_high,high,very_high,very_low,very_high,very_low,very_low,very_high,very_high,yes
acidic,very_low,very_high,very_low,very_high,very_low,very_high,high,very_high,very_high,very_low,high,yes
acidic,medium,very_low,medium,very_low,medium,very_low,medium,very_low,very_low,medium,medium,yes
neutral,low,low,low,low,low,low,medium,low,low,low,medium,no
acidic,medium,medium,medium,medium,medium,very_low,medium,very_low,medium,medium,medium,no
alkaline,medium,medium,medium,very_high,medium,high,very_high,high,medium,medium,very_high,no
alkaline,high,very_low,high,very_low,very_high,low,high,low,very_low,high,high,yes
alkaline,very_low,high,very_low,high,very_high,low,high,low,high,very_low,high,yes
neutral,medium,very_high,medium,very_high,very_high,very_high,medium,very_high,very_high,medium,medium,yes
acidic,very_low,medium,very_low,very_high,very_low,high,very_low,high,medium,very_low,very_low,yes
alkaline,medium,low,medium,low,low,very_low,low,very_low,low,medium,low,no
alkaline,very_high,very_high,very_high,very_high,high,medium,high,medium,very_high,very_high,high,yes
neutral,medium,very_high,medium,very_high,low,low,medium,low,very_high,medium,medium,yes
alkaline,high,high,high,high,very_high,low,high,low,high,high,high,no
acidic,low,high,low,high,high,low,low,low,high,low,low,no
neutral,medium,low,medium,low,very_high,very_high,medium,very_high,low,medium,medium,no
alkaline,very_high,low,very_high,very_low,very_high,medium,very_low,medium,low,very_high,very_low,yes
alkaline,very_high,very_low,very_high,high,medium,low,very_high,low,very_low,very_high,very_high,yes
alkaline,medium,low,medium,very_low,medium,high,very_high,high,low,medium,very_high,no
acidic,very_high,high,very_high,medium,very_low,low,very_low,low,high,very_high,very_low,yes
alkaline,very_high,very_high,very_high,low,low,high,very_high,high,very_high,very_high,very_high,yes
acidic,very_high,low,very_high,low,very_high,high,low,high,low,very_high,low,yes
alkaline,very_low,medium,very_low,very_high,very_low,very_high,very_low,very_high,medium,very_low,very_low,yes
alkaline,very_low,medium,very_low,very_high,medium,high,very_high,high,medium,very_low,very_high,yes
acidic,low,very_low,low,very_low,medium,very_low,medium,very_low,very_low,low,medium,yes
acidic,high,medium,high,medium,very_high,high,low,high,medium,high,low,no
acidic,low,low,low,low,high,low,low,low,low,low,low,no
alkaline,medium,high,medium,medium,low,high,very_high,high,high,medium,very_high,no
alkaline,medium,high,medium,medium,very_high,very_low,very_high,very_low,high,medium,very_high,yes
acidic,high,high,high,medium,very_high,medium,very_high,medium,high,high,very_high,no
acidic,very_low,very_high,very_low,very_high,low,medium,low,medium,very_high,very_low,low,yes
alkaline,very_low,very_high,very_low,very_high,very_low,very_low,high,very_low,very_high,very_low,high,yes
alkaline,very_low,low,very_low,very_low,high,very_low,very_high,very_low,low,very_low,very_high,yes
acidic,medium,very_low,medium,very_low,high,low,low,low,very_low,medium,low,yes
alkaline,very_high,very_high,very_high,very_high,low,very_low,low,very_low,very_high,very_high,low,yes
acidic,high,medium,high,medium,high,low,low,low,medium,high,low,no
neutral,very_low,very_low,very_low,very_low,low,low,medium,low,very_low,very_low,medium,yes
alkaline,high,low,high,low,high,medium,high,medium,low,high,high,no
alkaline,very_high,high,very_high,medium,high,very_high,very_high,very_high,high,very_high,very_high,yes
acidic,medium,very_high,medium,very_high,high,low,low,low,very_high,medium,low,yes
neutral,high,medium,high,medium,low,low,medium,low,medium,high,medium,no
neutral,low,medium,low,medium,low,low,medium,low,medium,low,medium,no
acidic,medium,high,medium,medium,very_high,medium,very_high,medium,high,medium,very_high,no
alkaline,high,very_low,high,high,very_low,high,very_low,high,very_low,high,very_low,yes
acidic,medium,very_high,medium,low,very_low,low,very_low,low,very_high,medium,very_low,yes
neutral,very_high,very_low,very_high,very_low,high,high,medium,high,very_low,very_high,medium,yes
acidic,very_low,very_low,very_low,high,very_high,medium,very_high,medium,very_low,very_low,very_high,yes
alkaline,medium,very_high,medium,low,very_low,high,very_low,high,very_high,medium,very_low,yes
acidic,medium,high,medium,high,low,medium,low,medium,high,medium,low,no
acidic,very_low,low,very_low,low,low,medium,low,medium,low,very_low,low,yes
neutral,medium,low,medium,low,low,low,medium,low,low,medium,medium,no
neutral,low,very_high,low,very_high,very_low,high,high,high,very_high,low,high,yes
neutral,medium,medium,medium,medium,very_low,high,high,high,medium,medium,high,no
acidic,very_high,very_high,very_high,very_high,high,low,low,low,very_high,very_high,low,yes
alkaline,very_high,very_high,very_high,low,very_low,high,very_low,high,very_high,very_high,very_low,yes
alkaline,very_high,low,very_high,very_low,medium,high,very_high,high,low,very_high,very_high,yes
neutral,medium,high,medium,medium,very_low,medium,very_low,medium,high,medium,very_low,no
acidic,very_high,medium,very_high,medium,medium,very_low,medium,very_low,medium,very_high,medium,yes
alkaline,low,low,low,low,medium,very_high,low,very_high,low,low,low,no
acidic,very_high,very_low,very_high,very_low,very_low,very_high,high,very_high,very_low,very_high,high,yes
acidic,low,very_high,low,low,very_high,medium,very_high,medium,very_high,low,very_high,yes
acidic,low,very_high,low,low,very_low,low,very_low,low,very_high,low,very_low,yes
alkaline,very_high,medium,very_high,medium,low,very_low,low,very_low,medium,very_high,low,yes
acidic,low,low,low,very_low,high,medium,very_high,medium,low,low,very_high,no
alkaline,high,high,high,high,medium,very_high,low,very_high,high,high,low,no
neutral,very_low,high,very_low,high,very_low,high,high,high,high,very_low,high,yes
acidic,high,low,high,low,very_low,very_high,high,very_high,low,high,high,no
alkaline,low,high,low,high,very_low,very_low,high,very_low,high,low,high,no
acidic,medium,medium,medium,very_high,very_high,low,very_high,low,medium,medium,very_high,yes
alkaline,low,low,low,very_low,very_high,medium,very_low,medium,low,low,very_low,yes
acidic,very_low,medium,very_low,medium,high,low,low,low,medium,very_low,low,yes
acidic,low,medium,low,medium,very_low,very_high,high,very_high,medium,low,high,no
neutral,high,medium,high,medium,high,high,medium,high,medium,high,medium,no
acidic,high,very_low,high,very_low,very_high,high,low,high,very_low,high,low,yes
neutral,medium,high,medium,high,low,low,medium,low,high,medium,medium,no
acidic,low,very_low,low,very_low,very_high,high,low,high,very_low,low,low,yes
neutral,high,high,high,high,very_low,high,high,high,high,high,high,no
alkaline,high,very_high,high,low,high,very_high,very_high,very_high,very_high,high,very_high,yes
acidic,medium,high,medium,high,very_low,very_high,high,very_high,high,medium,high,no
acidic,medium,high,medium,high,medium,very_low,medium,very_low,high,medium,medium,no
neutral,medium,high,medium,high,high,high,medium,high,high,medium,medium,no
alkaline,very_high,low,very_high,very_low,high,very_low,very_high,very_low,low,very_high,very_high,yes
acidic,medium,very_high,medium,very_high,medium,very_low,medium,very_low,very_high,medium,medium,yes
neutral,low,very_low,low,very_low,high,high,medium,high,very_low,low,medium,yes
alkaline,very_high,medium,very_high,medium,medium,very_high,low,very_high,medium,very_high,low,yes
alkaline,very_low,very_high,very_low,low,very_low,high,very_low,high,very_high,very_low,very_low,yes
neutral,very_high,high,very_high,high,medium,medium,medium,medium,high,very_high,medium,yes
neutral,very_low,very_low,very_low,very_low,very_low,high,high,high,very_low,very_low,high,yes
alkaline,high,high,high,medium,medium,low,very_high,low,high,high,very_high,no
alkaline,very_high,high,very_high,medium,very_high,very_low,very_high,very_low,high,very_high,very_high,yes
alkaline,medium,very_high,medium,very_high,very_low,very_low,high,very_low,very_high,medium,high,yes
alkaline,high,low,high,low,very_high,low,high,low,low,high,high,no
neutral,low,very_low,low,very_low,medium,medium,medium,medium,very_low,low,medium,yes
alkaline,medium,medium,medium,medium,very_low,very_low,high,very_low,medium,medium,high,no
neutral,low,high,low,high,low,low,medium,low,high,low,medium,no
acidic,very_high,low,very_high,low,high,low,low,low,low,very_high,low,yes
neutral,very_high,medium,very_high,medium,medium,medium,medium,medium,medium,very_high,medium,yes
neutral,low,very_low,low,very_low,very_low,high,high,high,very_low,low,high,yes
alkaline,high,high,high,high,low,very_low,low,very_low,high,high,low,no
acidic,medium,very_high,medium,very_high,very_high,high,low,high,very_high,medium,low,yes
acidic,medium,low,medium,low,very_low,very_high,high,very_high,low,medium,high,no
acidic,low,low,low,low,low,medium,low,medium,low,low,low,no
acidic,high,high,high,medium,very_low,low,very_low,low,high,high,very_low,no
neutral,low,low,low,low,very_high,very_high,medium,very_high,low,low,medium,no
neutral,very_low,very_low,very_low,very_low,high,high,medium,high,very_low,very_low,medium,yes
acidic,high,low,high,very_low,high,medium,very_high,medium,low,high,very_high,no
acidic,high,very_high,high,very_high,low,medium,low,medium,very_high,high,low,yes
alkaline,high,medium,high,medium,high,medium,high,medium,medium,high,high,no
alkaline,very_high,high,very_high,medium,very_low,high,very_low,high,high,very_high,very_low,yes
acidic,medium,medium,medium,very_high,high,medium,very_high,medium,medium,medium,very_high,no
alkaline,high,low,high,low,low,very_low,low,very_low,low,high,low,no
neutral,medium,very_high,medium,very_high,high,high,medium,high,very_high,medium,medium,yes
acidic,low,very_high,low,very_high,low,medium,low,medium,very_high,low,low,yes
alkaline,medium,medium,medium,very_high,low,very_high,very_high,very_high,medium,medium,very_high,yes
alkaline,low,very_low,low,high,very_low,high,very_low,high,very_low,low,very_low,yes
alkaline,low,very_high,low,very_high,very_low,very_low,high,very_low,very_high,low,high,yes
acidic,low,very_high,low,very_high,very_high,high,low,high,very_high,low,low,yes
neutral,very_low,high,very_low,high,low,low,medium,low,high,very_low,medium,yes
acidic,medium,low,medium,very_low,high,medium,very_high,medium,low,medium,very_high,yes
neutral,high,very_high,high,very_high,high,high,medium,high,very_high,high,medium,yes
alkaline,high,very_low,high,very_low,low,very_low,low,very_low,very_low,high,low,yes
alkaline,high,high,high,medium,high,very_high,very_high,very_high,high,high,very_high,yes
acidic,very_high,very_low,very_high,very_low,low,medium,low,medium,very_low,very_high,low,yes
neutral,very_low,high,very_low,medium,very_low,medium,very_low,medium,high,very_low,very_low,yes
alkaline,low,low,low,low,very_high,low,high,low,low,low,high,no
alkaline,very_high,very_high,very_high,very_high,very_low,very_low,high,very_low,very_high,very_high,high,yes
alkaline,low,very_low,low,high,low,high,very_high,high,very_low,low,very_high,yes
alkaline,high,very_high,high,low,low,high,very_high,high,very_high,high,very_high,yes
neutral,high,low,high,low,very_low,high,high,high,low,high,high,no
neutral,low,high,low,high,high,high,medium,high,high,low,medium,no
neutral,low,low,low,low,medium,medium,medium,medium,low,low,medium,no
alkaline,very_low,high,very_low,high,low,very_low,low,very_low,high,very_low,low,yes
neutral,low,high,low,medium,very_low,medium,very_low,medium,high,low,very_low,no
acidic,very_high,high,very_high,high,very_low,very_high,high,very_high,high,very_high,high,yes
acidic,very_low,medium,very_low,very_high,high,medium,very_high,medium,medium,very_low,very_high,yes
alkaline,low,medium,low,medium,very_low,very_low,high,very_low,medium,low,high,no
alkaline,very_high,very_low,very_high,high,low,high,very_high,high,very_low,very_high,very_high,yes
neutral,high,low,high,very_low,very_low,low,very_low,low,low,high,very_low,yes
alkaline,very_low,low,very_low,low,very_low,very_low,high,very_low,low,very_low,high,yes
alkaline,medium,high,medium,high,medium,very_high,low,very_high,high,medium,low,no
alkaline,very_low,high,very_low,high,medium,very_high,low,very_high,high,very_low,low,yes
neutral,very_low,very_low,very_low,very_low,very_high,very_high,medium,very_high,very_low,very_low,medium,yes
alkaline,very_low,high,very_low,high,high,medium,high,medium,high,very_low,high,yes
alkaline,very_high,very_high,very_high,low,medium,low,very_high,low,very_high,very_high,very_high,yes
acidic,high,very_high,high,very_high,high,low,low,low,very_high,high,low,yes
alkaline,low,high,low,medium,very_high,very_low,very_high,very_low,high,low,very_high,yes
alkaline,medium,low,medium,low,medium,very_high,low,very_high,low,medium,low,no
acidic,high,very_high,high,low,very_high,medium,very_high,medium,very_high,high,very_high,yes
alkaline,very_high,very_low,very_high,high,high,very_high,very_high,very_high,very_low,very_high,very_high,yes
alkaline,low,low,low,very_low,high,very_low,very_high,very_low,low,low,very_high,yes
alkaline,high,low,high,very_low,medium,high,very_high,high,low,high,very_high,no
alkaline,low,very_high,low,low,low,high,very_high,high,very_high,low,very_high,yes
neutral,very_low,very_high,very_low,very_high,high,high,medium,high,very_high,very_low,medium,yes
neutral,high,high,high,high,high,high,medium,high,high,high,medium,no
alkaline,low,medium,low,medium,high,medium,high,medium,medium,low,high,no
alkaline,medium,medium,medium,medium,very_high,low,high,low,medium,medium,high,no
alkaline,medium,very_high,medium,very_high,high,medium,high,medium,very_high,medium,high,yes
acidic,very_low,very_low,very_low,very_low,medium,very_low,medium,very_low,very_low,very_low,medium,yes
acidic,very_low,very_low,very_low,very_low,low,medium,low,medium,very_low,very_low,low,yes
neutral,very_high,medium,very_high,medium,low,low,medium,low,medium,very_high,medium,yes
acidic,medium,medium,medium,medium,high,low,low,low,medium,medium,low,no
alkaline,high,low,high,very_low,very_low,very_high,very_low,very_high,low,high,very_low,yes
acidic,high,high,high,high,very_high,high,low,high,high,high,low,no
acidic,high,very_low,high,very_low,medium,very_low,medium,very_low,very_low,high,medium,yes
neutral,medium,very_low,medium,high,very_low,medium,very_low,medium,very_low,medium,very_low,yes
acidic,high,low,high,low,very_high,high,low,high,low,high,low,no
neutral,very_high,very_high,very_high,very_high,very_high,very_high,medium,very_high,very_high,very_high,medium,yes
neutral,medium,high,medium,high,very_high,very_high,medium,very_high,high,medium,medium,no
neutral,medium,medium,medium,very_high,very_low,low,very_low,low,medium,medium,very_low,yes
alkaline,medium,very_high,medium,low,high,very_high,very_high,very_high,very_high,medium,very_high,yes
neutral,high,very_low,high,very_low,low,low,medium,low,very_low,high,medium,no
alkaline,medium,very_high,medium,very_high,very_high,low,high,low,very_high,medium,high,yes
alkaline,high,low,high,very_low,low,very_high,very_high,very_high,low,high,very_high,yes
alkaline,low,medium,low,very_high,low,very_high,very_high,very_high,medium,low,very_high,yes
acidic,low,very_low,low,very_low,high,low,low,low,very_low,low,low,yes
neutral,very_high,very_low,very_high,very_low,medium,medium,medium,medium,very_low,very_high,medium,yes
neutral,high,high,high,high,very_high,very_high,medium,very_high,high,high,medium,no
acidic,very_low,high,very_low,high,high,low,low,low,high,very_low,low,yes
neutral,medium,very_high,medium,very_high,medium,medium,medium,medium,very_high,medium,medium,yes
alkaline,medium,very_high,medium,low,low,high,very_high,high,very_high,medium,very_high,yes
acidic,low,high,low,high,very_low,very_high,high,very_high,high,low,high,no
acidic,low,very_high,low,very_high,very_low,very_high,high,very_high,very_high,low,high,yes
